1,フレッシュマーケット
2,ガジェットプラザ
3,テックストリート
4,骨董品街
5,工芸館通り
6,ケヤキ住宅区
7,イーストグラスヒルズ
8,グラフィティストリート
9,クリエイターズラボ
10,現代前衛美術館
11,森林博物館
12,北摩第一中央図書館
13,未来総合科学館
14,物流ハブ
15,駅前繁華街
16,シネマタウン
17,聖遺物記念館
18,聖堂通り
19,湧水記念教会
20,カレントコーポレーション本社
21,クラウドタワー
22,ビジネスラウンジ
23,高級料亭街
24,南総合クリニックビル
25,フラッドランド
26,北摩競馬場
27,北摩動物公園
28,庭園
29,湧水自然公園
30,グルメストリート
31,西部北摩公園
32,生物研究所
33,先端技術研究所
34,稲城通り商店街
35,稲城神社周辺
36,北摩ごみ処理センター
37,北摩発電所
38,スターライトデッキ
39,行政街
40,北摩市庁
41,学連ラウンジ
42,束大構内
43,束都高校校舎
44,束都中学校舎
45,自習エリア
46,西部学生寮棟
47,西部学区サークル棟
48,日帰り温泉『ホットスプリングス』
49,スタジアム
50,ダンスショーホール
51,ドームシティ・フードエリア
52,サンセットモール
53,夕凪公園
54,公共センター
55,メインキャンパス
56,コミュニティスペース
57,アカデミックホール
58,ワークステーション
59,マルチテクノラボ
60,東部学生寮棟
61,東部学区サークル棟
62,クロスメディアセンター
63,シビックホール
64,メディアガーデン
65,ろろぱーと地下1F
66,ろろぱーと1階
67,ろろぱーと2階
68,ろろぱーと3階
69,国際貴女大学本館
70,カフェテリア
71,国際貴女学院高等部棟
72,国際貴女学院初等部・中等部棟
73,国際貴女大学附属幼稚園
74,インターナショナルガーデン
75,聖マリア・グレースチャペル
76,北部学生寮棟
77,北部学区サークル棟
78,クロスターミナル
79,テクノスクエア
80,エコプラザ
81,セレニティウォーク
82,北摩キャンプ場
83,北摩小岳ハイキングコース
84,遊歩道
85,プリズムプール
86,神秘管理局 北摩基地
87,北摩川河川公園
88,水辺レジャーゾーン
89,新月夜店通り,チンピラライター,空きビール瓶,チンピラ,酔っ払い
90,ブンドリ交差点
91,シャッター街
92,残響団地,フェアリーパウダー,ブラウニーの帽子,フェアリー,ブラウニー
93,旧学生寮回廊
94,川沿い公園
95,茂みの空き地,わたげ,卒塔婆,ケセランパサラン,人魂
96,そよかぜの竹林
97,廃駐車場
98,アンテナプラザ
99,ノイズステーション
100,空きテナント,がらくた回路,配膳メモリー,野良掃除機,野良配膳機
101,ハロートイ,へし曲げられたピース,軽いベアリング,そらとぶパズル,フライングスピナー
102,くれよん広場
103,個展会場
104,駐屯地裏広場,真っ白な四角,真っ白な鶏肉,とうふ,とり
105,ぼんやりはらっぱ
106,ゆるりんそうげん
107,バッドボーンストリート,マッチ箱,古い包帯,闇ノ炎ヲ従エシ者,邪気眼ニ目覚メシ者
108,デーモンスクエア
109,異宙観測所,燃料タンク,きまぐれジャイロ,はぐれクローラー,はぐれドローン
110,ラジコンサーキット
111,狐の道,きつね葉っぱ,タヌキ葉っぱ,化けたぬき,化けきつね
112,渓流の獣道
113,古本リサイクルショップ,水飲み鳥,奇妙なしおり,バードカバー,飛び出す絵本
114,製本工場
115,生垣迷路,ダイコンのひげ,よじれ人参,歩くだいこん,歩くにんじん
116,海鮮朝市
117,黄昏庭園,スプライトの胞子,キラキラオーブ,スプライト,ピクシー
118,藤棚アーチ
119,迷荷の倉庫,不気味パン,レンジプレート,トースター,電子レンジ
120,幻影の観覧席,やぶれた風船,マジックテープ,バルーンアート,着せ替え人形
121,旧地下鉄駅構内,コウモリの羽,ネズミの尻尾,おおコウモリ,おおネズミ
122,悟りの石窟,小粒の木の実,グレムリンガイド,インプ,グレムリン
123,ゆがみヶ丘,大外れ馬券,空き缶,もぬけの殻,夢うつつな人
124,黄昏通り,提灯の紙切れ,ボロ下駄,お化け提灯,唐傘お化け
125,ひだまり植物園,ウツボカズラ,ハエトリソウ,ウツボ水,ハエトリはさみ
126,北摩原生林,アルラウネ,ドリアード,しなやかな蔓,柔らかい葉
127,シティサイドロード,迷子のバランススクーター,迷子のキックボード,スクーターバッテリー,ミニ車輪
128,イミテーションストリート,人面犬,猫又,犬耳,猫しっぽ
